path,filename,kind,interface_layers,boundary_layers,reset,trial,file_size_bytes
/export/data01/scratch2/mohan227/multiscale_pinn/pinn_history/pinn-history-2d-alloy-neumann-reduced-IL1-BL2-TRIAL1.json,pinn-history-2d-alloy-neumann-reduced-IL1-BL2-TRIAL1.json,reduced,1,2,False,1,31446299
/export/data01/scratch2/mohan227/multiscale_pinn/pinn_history/pinn-history-2d-alloy-neumann-reduced-IL1-BL2-TRIAL10.json,pinn-history-2d-alloy-neumann-reduced-IL1-BL2-TRIAL10.json,reduced,1,2,False,10,31444265
/export/data01/scratch2/mohan227/multiscale_pinn/pinn_history/pinn-history-2d-alloy-neumann-reduced-IL1-BL2-TRIAL2.json,pinn-history-2d-alloy-neumann-reduced-IL1-BL2-TRIAL2.json,reduced,1,2,False,2,31445714
/export/data01/scratch2/mohan227/multiscale_pinn/pinn_history/pinn-history-2d-alloy-neumann-reduced-IL1-BL2-TRIAL3.json,pinn-history-2d-alloy-neumann-reduced-IL1-BL2-TRIAL3.json,reduced,1,2,False,3,31422529
/export/data01/scratch2/mohan227/multiscale_pinn/pinn_history/pinn-history-2d-alloy-neumann-reduced-IL1-BL2-TRIAL4.json,pinn-history-2d-alloy-neumann-reduced-IL1-BL2-TRIAL4.json,reduced,1,2,False,4,31442585
/export/data01/scratch2/mohan227/multiscale_pinn/pinn_history/pinn-history-2d-alloy-neumann-reduced-IL1-BL2-TRIAL5.json,pinn-history-2d-alloy-neumann-reduced-IL1-BL2-TRIAL5.json,reduced,1,2,False,5,31445658
/export/data01/scratch2/mohan227/multiscale_pinn/pinn_history/pinn-history-2d-alloy-neumann-reduced-IL1-BL2-TRIAL6.json,pinn-history-2d-alloy-neumann-reduced-IL1-BL2-TRIAL6.json,reduced,1,2,False,6,31442532
/export/data01/scratch2/mohan227/multiscale_pinn/pinn_history/pinn-history-2d-alloy-neumann-reduced-IL1-BL2-TRIAL7.json,pinn-history-2d-alloy-neumann-reduced-IL1-BL2-TRIAL7.json,reduced,1,2,False,7,31445277
/export/data01/scratch2/mohan227/multiscale_pinn/pinn_history/pinn-history-2d-alloy-neumann-reduced-IL1-BL2-TRIAL8.json,pinn-history-2d-alloy-neumann-reduced-IL1-BL2-TRIAL8.json,reduced,1,2,False,8,31443923
/export/data01/scratch2/mohan227/multiscale_pinn/pinn_history/pinn-history-2d-alloy-neumann-reduced-IL1-BL2-TRIAL9.json,pinn-history-2d-alloy-neumann-reduced-IL1-BL2-TRIAL9.json,reduced,1,2,False,9,31443376
/export/data01/scratch2/mohan227/multiscale_pinn/pinn_history/pinn-history-2d-alloy-neumann-reduced-IL1-BL3-RESET-TRIAL1.json,pinn-history-2d-alloy-neumann-reduced-IL1-BL3-RESET-TRIAL1.json,reduced,1,3,True,1,31441251
/export/data01/scratch2/mohan227/multiscale_pinn/pinn_history/pinn-history-2d-alloy-neumann-reduced-IL1-BL3-RESET-TRIAL10.json,pinn-history-2d-alloy-neumann-reduced-IL1-BL3-RESET-TRIAL10.json,reduced,1,3,True,10,31440594
/export/data01/scratch2/mohan227/multiscale_pinn/pinn_history/pinn-history-2d-alloy-neumann-reduced-IL1-BL3-RESET-TRIAL2.json,pinn-history-2d-alloy-neumann-reduced-IL1-BL3-RESET-TRIAL2.json,reduced,1,3,True,2,31434081
/export/data01/scratch2/mohan227/multiscale_pinn/pinn_history/pinn-history-2d-alloy-neumann-reduced-IL1-BL3-RESET-TRIAL3.json,pinn-history-2d-alloy-neumann-reduced-IL1-BL3-RESET-TRIAL3.json,reduced,1,3,True,3,31430767
/export/data01/scratch2/mohan227/multiscale_pinn/pinn_history/pinn-history-2d-alloy-neumann-reduced-IL1-BL3-RESET-TRIAL4.json,pinn-history-2d-alloy-neumann-reduced-IL1-BL3-RESET-TRIAL4.json,reduced,1,3,True,4,31357352
/export/data01/scratch2/mohan227/multiscale_pinn/pinn_history/pinn-history-2d-alloy-neumann-reduced-IL1-BL3-RESET-TRIAL5.json,pinn-history-2d-alloy-neumann-reduced-IL1-BL3-RESET-TRIAL5.json,reduced,1,3,True,5,31437037
/export/data01/scratch2/mohan227/multiscale_pinn/pinn_history/pinn-history-2d-alloy-neumann-reduced-IL1-BL3-RESET-TRIAL6.json,pinn-history-2d-alloy-neumann-reduced-IL1-BL3-RESET-TRIAL6.json,reduced,1,3,True,6,31337366
/export/data01/scratch2/mohan227/multiscale_pinn/pinn_history/pinn-history-2d-alloy-neumann-reduced-IL1-BL3-RESET-TRIAL7.json,pinn-history-2d-alloy-neumann-reduced-IL1-BL3-RESET-TRIAL7.json,reduced,1,3,True,7,31421138
/export/data01/scratch2/mohan227/multiscale_pinn/pinn_history/pinn-history-2d-alloy-neumann-reduced-IL1-BL3-RESET-TRIAL8.json,pinn-history-2d-alloy-neumann-reduced-IL1-BL3-RESET-TRIAL8.json,reduced,1,3,True,8,31435817
/export/data01/scratch2/mohan227/multiscale_pinn/pinn_history/pinn-history-2d-alloy-neumann-reduced-IL1-BL3-RESET-TRIAL9.json,pinn-history-2d-alloy-neumann-reduced-IL1-BL3-RESET-TRIAL9.json,reduced,1,3,True,9,31437770
